127.0.0.1 - - [13/Apr/2025:12:46:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Apr/2025:12:46:16 +0530] "GET /07-2025_JSP_Tags/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [13/Apr/2025:12:46:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Apr/2025:12:46:29 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [13/Apr/2025:12:48:43 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [13/Apr/2025:12:49:05 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [13/Apr/2025:12:49:08 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [13/Apr/2025:12:49:17 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [13/Apr/2025:12:49:22 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [13/Apr/2025:12:49:55 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [13/Apr/2025:12:55:30 +0530] "GET /07-2025_JSP_Tags/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [13/Apr/2025:12:55:39 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [13/Apr/2025:12:57:04 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [13/Apr/2025:12:57:18 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:09:27 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:10:09 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:10:10 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:10:10 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 373
